Brand,Item Name,Item Code,Package Size,MCC,Category
LAXMI,MOONG DAL,6M2,55 LB,N/A,DALS & BEANS
LAXMI,MOONG WHOLE SMALL,7M7,20X2 LB,20723246181053,DALS & BEANS
LAXMI,MOONG WHOLE SMALL,7M6,10X4 LB,20723246181063,DALS & BEANS
LAXMI,MOONG WHOLE SMALL,7M5,5X8 LB,10723246183661,DALS & BEANS
LAXMI,MOONG WHOLE,7MB7,20X2 LB,10723246181626,DALS & BEANS
LAXMI,MOONG WHOLE,7MB6,10X4 LB,10723246181636,DALS & BEANS
LAXMI,MOONG WHOLE,7MB5,5X8 LB,10723246181643,DALS & BEANS
LAXMI,MOONG DAL SPLIT,6MS7,20X2 LB,20723246182029,DALS & BEANS
LAXMI,MOONG DAL SPLIT,6MS6,10X4 LB,10723246182039,DALS & BEANS
LAXMI,URAD GOTA,7UG7,20X2 LB,20723246181350,DALS & BEANS
LAXMI,URAD GOTA,7UG6,10X4 LB,10723246181360,DALS & BEANS
LAXMI,URAD GOTA,7UG5,5X8 LB,10723246183678,DALS & BEANS
LAXMI,URAD GOTA,7UG2,55 LB,N/A,DALS & BEANS
LAXMI,URAD DAL,6U6,10X4 LB,10723246183326,DALS & BEANS
LAXMI,URAD DAL,6U5,5X8 LB,10723246183555,DALS & BEANS
LAXMI,URAD DAL,6U1,55 LB,N/A,DALS & BEANS
LAXMI,WHOLE URAD,7U7,20X2 LB,20723246181084,DALS & BEANS
LAXMI,WHOLE URAD,7U6,10X4 LB,10723246181094,DALS & BEANS
LAXMI,WHOLE URAD,7U5,5X8 LB,10723246183654,DALS & BEANS
LAXMI,URAD DAL SPLIT,6US6,10X4 LB,10723246182060,DALS & BEANS
LAXMI,KABULI CHANA,7K7,20X2 LB,20723246232021,DALS & BEANS
LAXMI,KABULI CHANA,7K6,10X4 LB,10723246232031,DALS & BEANS
LAXMI,KABULI CHANA,7K5,5X8 LB,10723246232017,DALS & BEANS
LAXMI,RAJMA CHITRA,7RC6,10X4 LB,10723246293582,DALS & BEANS
LAXMI,RAJMA JAMMU,7RJ6,10X4 LB,10723246293599,DALS & BEANS
LAXMI,KALA CHANA,7KL7,20X2 LB,20723246181022,DALS & BEANS
LAXMI,KALA CHANA,7KL6,10X4 LB,10723246181032,DALS & BEANS
LAXMI,KALA CHANA,7KL5,5X8 LB,10723246183685,DALS & BEANS
LAXMI,KALA CHANA,7KL2,55 LB,N/A,DALS & BEANS
LAXMI,MASOOR DAL,7KL7,20X2 LB,20723246183231,DALS & BEANS
LAXMI,MASOOR DAL,7KL6,10X4 LB,10723246183241,DALS & BEANS
LAXMI,MASOOR DAL,7KL5,5X8 LB,10723246183517,DALS & BEANS
LAXMI,MASOOR FOOTBALL GOTA,7MF7,20X2 LB,20723246181534,DALS & BEANS
LAXMI,MASOOR FOOTBALL GOTA,7MF6,10X4 LB,10723246181483,DALS & BEANS
LAXMI,WHOLE MASOOR,7ML7,20X2 LB,20723246232816,DALS & BEANS
LAXMI,WHOLE MASOOR,7ML6,10X4 LB,10723246181209,DALS & BEANS
LAXMI,BROWN CHORI,7D7,20X2 LB,20723246181381,DALS & BEANS
LAXMI,LIGHT RED KIDNEY BEANS,7RL7,20X2 LB,10723246184054,DALS & BEANS
LAXMI,LIGHT RED KIDNEY BEANS,7RL6,10X4 LB,10723246184064,DALS & BEANS
LAXMI,LIGHT RED KIDNEY BEANS,7RL5,5X8 LB,10723246265794,DALS & BEANS
LAXMI,DARK RED KIDNEY BEANS,7RD7,20X2 LB,20723246236050,DALS & BEANS
LAXMI,DARK RED KIDNEY BEANS,7RD6,10X4 LB,10723246236046,DALS & BEANS
LAXMI,BLACK EYED PEAS,7B7,20X2 LB,20723246184023,DALS & BEANS
LAXMI,BLACK EYED PEAS,7B6,10X4 LB,10723246184033,DALS & BEANS
LAXMI,YELLOW VATANA,7W7,20X2 LB,10723246181247,DALS & BEANS
LAXMI,YELLOW VATANA,7W6,10X4 LB,20723246181237,DALS & BEANS
LAXMI,YELLOW SPLIT PEAS,6Y7,20X2 LB,20723246182081,DALS & BEANS
LAXMI,YELLOW SPLIT PEAS,6Y6,10X4 LB,10723246182091,DALS & BEANS
LAXMI,GREEN VATANA,7GV7,20X2 LB,20723246181268,DALS & BEANS
LAXMI,GREEN VATANA,7GV6,10X4 LB,10723246181278,DALS & BEANS
LAXMI,ALMOND,9ALA6,20X400 GM,20723246170019,DRY FRUITS & NUTS
LAXMI,ALMOND,9ALA4,10X800 GM,30723246170023,DRY FRUITS & NUTS
LAXMI,ALMOND,9AL18,11X3 LB,20723246265241,DRY FRUITS & NUTS
LAXMI,CASHEW PIECES,9CB4,20X400 GM,20723246170224,DRY FRUITS & NUTS
LAXMI,CASHEW PIECES,9CB3,10X800 GM,10723246282821,DRY FRUITS & NUTS
LAXMI,CASHEW PIECES,9CB30,8X3 LB,10723246289226,DRY FRUITS & NUTS
LAXMI,CASHEW WHOLE,9CN9,20X400 GM,10723246170139,DRY FRUITS & NUTS
LAXMI,WHOLE CASHEW,9CN8,12X800 GM,20723246170173,DRY FRUITS & NUTS
LAXMI,COCONUT SLICES,9COSL7,20X200 GM,20723246268204,DRY FRUITS & NUTS
LAXMI,COCONUT POWDER,9COP6,20X400 GM,20723246200754,DRY FRUITS & NUTS
LAXMI,COCONUT POWDER,9COP5,10X800 GM,10723246200849,DRY FRUITS & NUTS
LAXMI,COCONUT FLAKES,9COF6,20X400 GM,20723246200778,DRY FRUITS & NUTS
LAXMI,PEANUTS,9P5,20X400 GM,30723246170375,DRY FRUITS & NUTS
LAXMI,PEANUTS,9P4,20X800 GM,20723246170385,DRY FRUITS & NUTS
LAXMI,PEANUTS,9P31,10x3.5 LB,10723246283507,DRY FRUITS & NUTS
LAXMI,GOLDEN RAISINS,9RG4,20X400 GM,20723246172228,DRY FRUITS & NUTS
LAXMI,GOLDEN RAISINS,9RG31,10X800 GM,20723246265213,DRY FRUITS & NUTS
LAXMI,GOLDEN RAISINS,9RG1,30 LB,N/A,DRY FRUITS & NUTS
LAXMI,DRY DATES,9DD5,20X200 GM,20723246170453,DRY FRUITS & NUTS
LAXMI COCONUT SLICES,9COSL7,20X200 GM,20723246268204,DRY FRUITS & NUTS
LAXMI,SHARBATI CHAPPATI FLOUR,5CHS7,10X4 LB,10723246246267,FLOURS
LAXMI,SHARBATI CHAPPATI FLOUR,5CHS4,4X10 LB,10723246246243,FLOURS
LAXMI,SHARBATI CHAPPATI FLOUR,5CHS1,2X20 LB,20723246246028,FLOURS
LAXMI,CHAKKI ATTA,5CHA2,4X10 LB,10723246289387,FLOURS
LAXMI,CHAKKI ATTA,5CHA1,2X20 LB,10723246287444,FLOURS
LAXMI,CHAKKI ATTA,5CHA4,10X4 LB,10723246289394,FLOURS
LAXMI,MULTIGRAIN ATTA,5CHM6,4X10 LB,10723246289653,FLOURS
LAXMI,MULTIGRAIN ATTA,5CHM5,2X20 LB,10723246289646,FLOURS
LAXMI,MULTIGRAIN ATTA,5CHM4,10X4 LB,10723246290406,FLOURS
LAXMI,FRESHLY MILLED BESAN FLOUR,5BE6,10X4 LB,10723246121021,FLOURS
LAXMI,FRESHLY MILLED BESAN FLOUR,5BE35,4X10 LB,10723246121007,FLOURS
LAXMI,FRESHLY MILLED BESAN FLOUR,5BE81,20X2 LB,20723246121035,FLOURS
LAXMI,FRESHLY MILLED BESAN FLOUR,5LB7,50 LB,20723246297037,FLOURS
LAXMI,LADOO BESAN,5LB7,20X2 LB,20723246297037,FLOURS
LAXMI,FRESHLY MILLED RICE FLOUR,5RI6,20X2 LB,10723246297191,FLOURS
LAXMI,FRESHLY MILLED RICE FLOUR,5RI39,4X10 LB,10723246121199,FLOURS
LAXMI,FRESHLY MILLED RICE FLOUR,5RI3,25 LB,N/A,FLOURS
LAXMI,FRESHLY MILLED RICE FLOUR,5RI1,100 LB,N/A,FLOURS
LAXMI,SOOJI COARSE,5SO7,20X2 LB,20723246121202,FLOURS
LAXMI,SOOJI COARSE,5SO6,10X4 LB,10723246121212,FLOURS
LAXMI,SOOJI FINE,5SOF7,20X2 LB,20723246298041,FLOURS
LAXMI,SOOJI FINE,5SOF6,10X4 LB,10723246131426,FLOURS
LAXMI,SOOJI ROASTED,5SOR7,20X2 LB,20723246246141,FLOURS
LAXMI,SOOJI ROASTED,5SOR6,10X4 LB,10723246246137,FLOURS
LAXMI,ALL PURPOSE FLOUR (MAIDA),5AL7,20X2 LB,20723246131393,FLOURS
LAXMI,ALL PURPOSE FLOUR (MAIDA),5AL6,10X4 LB,20723246131389,FLOURS
LAXMI,BAJRI FLOUR,5BJ,20X2 LB,20723246297006,FLOURS
LAXMI,JUWAR FLOUR,5T,20X2 LB,20723246297020,FLOURS
LAXMI,CHAPPATI FLOUR,5CH1,20 LB,N/A,FLOURS
LAXMI,FROZEN GRADED COCONUT,LFCG12,24X400 GM,30723246287738,FROZEN VEGETABLES
LAXMI,FROZEN GRADED COCONUT,LFCG12,10X1.2 KG,10723246287901,FROZEN VEGETABLES
LAXMI,FROZEN SHREDDED COCONUT,LFCS10,24X400 GM,21723246160088,FROZEN VEGETABLES
LAXMI,FROZEN SHREDDED COCONUT,LFCS02,10X1.2 KG,10723246268542,FROZEN VEGETABLES
LAXMI,FROZEN COCONUT SLICES,LFCSL12,24X400 GM,30723246288391,FROZEN VEGETABLES
LAXMI,FROZEN DRUMSTICKS,LFVD1,24X300 GM,10723246165346,FROZEN VEGETABLES
LAXMI,FROZEN DRUMSTICKS,LFVD3,8X908 GM,10723246292707,FROZEN VEGETABLES
LAXMI,FROZEN GUAR,LFVG02,24X300 GM,30723246260847,FROZEN VEGETABLES
LAXMI,FROZEN GREEN PEAS,LFVG30,24X300 GM,10723246165322,FROZEN VEGETABLES
LAXMI,FROZEN GREEN PEAS,LFVG91,8X908 GM,10723246287888,FROZEN VEGETABLES
LAXMI,FROZEN KARELA,LFVK12,24X300 GM,30723246260793,FROZEN VEGETABLES
LAXMI,FROZEN METHI LEAVES,LFVM20,24X300 GM,30723246260823,FROZEN VEGETABLES
LAXMI,FROZEN BHINDI (OKRA CUT),LFVO22,24X300 GM,30723246260762,FROZEN VEGETABLES
LAXMI,FROZEN BHINDI (OKRA CUT),LFVO01,8X908 GM,10723246287871,FROZEN VEGETABLES
LAXMI,FROZEN SURTI PAPDI LILVA,LFVS13,24X300 GM,30723246260892,FROZEN VEGETABLES
LAXMI,FROZEN SAMBAR MIX,LFVSA22,24X400 GM,30723246260083,FROZEN VEGETABLES
LAXMI,FROZEN TINDORA CUT,LFVT12,24X300 GM,30723246260809,FROZEN VEGETABLES
LAXMI,FROZEN TINDORA CUT,LFVT01,8X908 GM,10723246287925,FROZEN VEGETABLES
LAXMI,FROZEN TOOVAR LILVA,LFVT91,24X300 GM,30723246260809,FROZEN VEGETABLES
LAXMI,FROZEN VAL LILVA,LFVV12,24X300 GM,10723246165339,FROZEN VEGETABLES
LAXMI,FROZEN VAL PAPDI,LFVV12,24X300 GM,30723246260816,FROZEN VEGETABLES
LAXMI,FROZEN MIXED VEGETABLES,LFVMV20,24X300 GM,30723246289015,FROZEN VEGETABLES
LAXMI,FROZEN MIXED VEGETABLES,LFVMV10,8X908 GM,10723246289028,FROZEN VEGETABLES
LAXMI,FROZEN PEAS & CARROTS,LFVMV30,24X300 GM,30723246290615,FROZEN VEGETABLES
LAXMI,FROZEN SURAN,LFVS4,24X300 GM,10723246165278,FROZEN VEGETABLES
LAXMI,FROZEN GREEN CHILLI,LFVCGO,24X300 GM,20723246293176,FROZEN VEGETABLES
LAXMI,FROZEN RED ONION,LFVORO,24X300 GM,20723246293206,FROZEN VEGETABLES
LAXMI,FROZEN RATALU (YAM) CUT,LFVORO,24X300 GM,20723246293220,FROZEN VEGETABLES
LAXMI,FROZEN ALOO PARATHA,LFBA,24X400 GM,20723246290090,FROZEN STUFFED PARATHA
LAXMI,FROZEN GOBHI PARATHA,LFBG,24X400 GM,20723246290106,FROZEN STUFFED PARATHA
LAXMI,FROZEN PANEER PARATHA,LFBPN,24X400 GM,20723246290137,FROZEN STUFFED PARATHA
LAXMI,FROZEN ONION PARATHA,LFBO,24X400 GM,20723246290120,FROZEN STUFFED PARATHA
LAXMI,FROZEN MULI PARATHA,LFBML,24X400 GM,20723246290144,FROZEN STUFFED PARATHA
LAXMI,FROZEN MIXED VEG PARATHA,LFBMV,24X400 GM,20723246290113,FROZEN STUFFED PARATHA
LAXMI,FROZEN METHI PARATHA,LFBME,24X400 GM,20723246290168,FROZEN STUFFED PARATHA
LAXMI,FROZEN LACHHA PARATHA,LFBL,24X400 GM,20723246290151,FROZEN STUFFED PARATHA
LAXMI,FROZEN TANDOORI ROTI,LFBTR,8X960 GM,10723246290277,FROZEN STUFFED PARATHA
LAXMI,FROZEN PANEER PARATHA BLK,LFBPN1,8X1600 GM,10723246292905,FROZEN STUFFED PARATHA
LAXMI,FROZEN ALOO PARATHA BLK,LFBA1,8X1600 GM,10723246292899,FROZEN STUFFED PARATHA
LAXMI,FROZEN SHARBATI CHAPATI,LFBCS,12X700 GM,10723246290024,FROZEN STUFFED PARATHA
LAXMI,FROZEN BULLET NAAN,LFNB,24X400 GM,30723246287820,FROZEN NAAN
LAXMI,FROZEN BULLET NAAN BULK,LFNB1,8X1200 GM,10723246290086,FROZEN NAAN
LAXMI,FROZEN GARLIC BUTTER NAAN,LFNG0,24X400 GM,30723246287806,FROZEN NAAN
LAXMI,FROZEN GARLIC BUTTER NAAN BULK,LFNG1,8X1200 GM,10723246287819,FROZEN NAAN
LAXMI,FROZEN TANDOORI PLAIN NAAN,LFNT0,24X400 GM,30723246287783,FROZEN NAAN
LAXMI,FROZEN TANDOORI PLAIN NAAN BULK,LFNT1,8X1200 GM,10723246290079,FROZEN NAAN
LAXMI,FROZEN HOME STYLE PARATHA BULK,LFPH11,8X1600 GM,10723246292608,FROZEN NAAN
LAXMI,FROZEN BHATURA BULK,LFPH11,8X975 GM,10723246288892,FROZEN NAAN
LAXMI,MEGA JUMBO PUNJABI SAMOSA,LFPSM1,6X16X125 GM,10723246291779,FROZEN SAMOSA
LAXMI,SUPER JUMBO PUNJABI SAMOSA,LFPSM,6X20X100 GM,10723246290307,FROZEN SAMOSA
LAXMI,PUNJABI SAMOSA,LFPS40,12X12X40 GM,10723246283101,FROZEN SAMOSA
LAXMI,PUNJABI SAMOSA,LFPS2,6X30X40 GM,10723246283132,FROZEN SAMOSA
LAXMI,JUMBO PUNJABI SAMOSA,LFPS30,12X8X75 GM,10723246283118,FROZEN SAMOSA
LAXMI,JUMBO PUNJABI SAMOSA,LFPS1,6X20X75 GM,10723246283125,FROZEN SAMOSA
LAXMI,COCKTAIL POTATO & PEAS SAMOSA,LFPS50,12X20X20 GM,10723246283200,FROZEN SAMOSA
LAXMI,COCKTAIL TANDOORI PANEER SAMOSA,LFTS0,12X20X20 GM,20723246287779,FROZEN SAMOSA
LAXMI,COCKTAIL JALAPENO & CHEESE SAMOSA,LFJS0,12X20X20 GM,20723246287762,FROZEN SAMOSA
LAXMI,JUMBO PUNJABI SAMOSA,LFPSN20,12X8X75 GM,20723246289339,FROZEN SAMOSA
LAXMI,HYDERABADI ONION SAMOSA,LFSHO,8X25X25 GM,10723246289851,FROZEN SAMOSA
LAXMI,ALPHONSO MANGO SLICES,LFVMA2,12X312 GM,20723246290335,FROZEN MANGO PULP & SLICES
LAXMI,KESAR MANGO SLICES,LFVMK2,12X312 GM,20723246290342,FROZEN MANGO PULP & SLICES
LAXMI,BANAGANAPALLE MANGO SLICES,LFVMB1,12X312 GM,10723246288984,FROZEN MANGO PULP & SLICES
LAXMI,FROZEN JALEBI,LSWJ,12X454 GM,20723246292315,FROZEN SWEETS
LAXMI,FROZEN MILK CAKE,LSWMC,12X350 GM,10723246289967,FROZEN SWEETS
LAXMI,FROZEN MOTICHUR LADOO,LSWML,12X350 GM,10723246289905,FROZEN SWEETS
LAXMI,FROZEN KAJU DRYFUIT,LSWKM,12X350 GM,10723246289998,FROZEN SWEETS
LAXMI,FROZEN KESAR PENDA,LSWKP,12X350 GM,10723246289950,FROZEN SWEETS
LAXMI,FROZEN KAJU KATRI,LSWKK,12X350 GM,10723246289974,FROZEN SWEETS
LAXMI,FROZEN PANEER JALEBI,LSWPJ,12X350 GM,10723246289912,FROZEN SWEETS
LAXMI,FROZEN SUTARFENI,LSWSF,12X350 GM,10723246289929,FROZEN SWEETS
LAXMI,FROZEN MALAI PENDA,LSWMP,12X350 GM,10723246289936,FROZEN SWEETS
LAXMI,FROZEN GULAB JAMUN BUCKET (200PCS),1X20 KG,N/A,FROZEN SWEETS
LAXMI,YELLOW DAL TADKA,LFGDT,12X284 GM,20723246291103,FROZEN GRAVY & CURRIES
LAXMI,BAIGAN BHARTA,LFGBB1,12X284 GM,20723246291141,FROZEN GRAVY & CURRIES
LAXMI,BHINDI MASALA,LFGBM1,12X284 GM,20723246291158,FROZEN GRAVY & CURRIES
